,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
14_P1-500-3,0.96,0.91,0.67,0.96,1,1,1,1,0.89,0.92,1,1,0.99,0.94,0.67,0.99,1,0.98,0.9,1,0.75,0.99,0.96,0.77,0.89,0.99,0.92,0.7,-0.31,0.93,0.91,0.5,0.93,0.08,0.97,0.98,-0.13,0.58,0.85,0.78,-0.29,0.72,0.73,0.12,-0.57,0.81,0.94,0.55,-0.26,-0.96,0.79,0.02,0.86,0.68,0.75,0.19,0.57,-0.75,-0.76,-0.79,0.72,0.23,-0.85,0.87,0.78,0.32,0.08,0.75,-0.94,0.26,0.71,0.75,0.55,0.84,-0.16,-0.84,0.81,0.02,0.41,-0.99,-0.41,-1,-0.9,-1,0.08,-1,-0.43,0,-0.17,-0.62,-0.95,-0.98,0.78,-0.99,-0.39,0.72,-0.69,-1,0.31,-1,0.81,-0.97,-0.85,-0.21,-1,-0.97,-1,0.54,-0.98,-0.89,-1,-0.69,-0.76,0.03,-0.94,0.39,-0.9,0.84,1,0.99,0.58,0.5,0.97,1,0.64,0.98,0.79,0.37,0.97,0.93,0.47,-0.29,-0.16,0.37,0.61,0.6,1,0.71,0.96,0.7,0.97,0.5,0.97,1,0.95,0.99,1,0.85,0.62,0.22,-0.42,0.82,0.61,0.9,0.92,0.35,-0.57,0.96,0.16
14_P1-60-3,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,0.61,1,1,1,0.99,1,1,0.98,0.45,1,1,0.99,1,0.39,1,0.96,1,1,1,0.99,1,0.99,0.95,1,1,1,0.76,1,1,1,0.99,1,1,0.97,1,1,0.99,1,0.98,1,1,0.46,0.85,0.6,0.96,0.87,0.89,0.95,-0.91,0.99,-1,-0.17,0,-0.99,-0.1,0.57,-0.78,0.69,-0.53,0.04,-0.87,0.93,-0.99,0.95,-0.53,0.94,0.68,0.08,0.75,0.57,0.84,0.64,0.68,0.28,0.98,-0.98,0.6,0.29,0.81,-0.07,-0.49,0.22,1,1,0.95,1,0.99,1,0.26,0.95,0.99,1,0.89,0.75,0.99,0.98,1,0.95,0.38,0.94,1,1,1,1,1,1,1,1,1,1,1,0.78,0.79,0.99,1,0.86,0.88,0.91,1,0.96,1,0.99,1
15_P1-100-3,1,0.96,0.96,1,1,1,1,1,0.96,0.99,1,1,0.99,0.98,0.78,1,1,0.99,0.89,1,0.57,0.99,0.92,0.89,0.76,0.99,0.92,0.81,-0.02,0.67,0.8,0.51,0.98,0.45,0.97,0.88,0.19,0.6,0.52,0.5,-0.09,0.37,0.67,0.39,-0.6,0.58,0.75,0.17,0.36,-0.83,0.54,-0.51,0.54,0.47,0.46,0.01,-0.07,-0.6,-0.63,0.39,0.56,0.57,-0.83,0.69,0.55,0.59,0.31,0.36,-0.03,0.26,0.73,0.67,0.04,0.68,-0.22,0.2,0.48,-0.02,-0.1,-0.59,-0.08,-0.49,-0.52,-0.93,-0.58,-0.67,-0.92,-0.62,-0.99,0,-1,-0.88,-0.74,-0.86,-1,-0.76,-1,-0.67,-0.76,-0.88,-0.73,-1,-0.97,-0.86,-0.92,-0.96,-0.92,-0.73,-0.93,-0.98,-0.65,-0.99,-0.95,-0.53,-0.66,-0.59,-0.85,-0.41,0.99,0.94,0.82,0.53,0.96,0.98,0.46,0.54,0.43,0.33,0.49,0.5,0.31,0.23,0.35,0.48,0.12,0.49,0.99,0.31,0.89,0.9,0.91,0.26,0.88,1,0.93,0.99,0.99,0.58,0.41,0.44,0.21,0.41,0.59,0.34,0.6,0.4,0.47,0.44,0.42
15_P1-20-3,1,1,0.97,1,1,1,1,1,0.99,1,1,1,1,1,0.91,1,1,1,0.96,1,0.95,1,0.97,0.96,0.99,1,0.98,0.96,0.69,0.99,0.96,0.84,1,0.89,0.99,1,0.34,0.93,0.95,0.94,0.41,0.9,0.95,0.81,-0.04,0.91,0.99,0.67,0.84,-0.76,0.95,0.32,0.91,0.9,0.85,0.49,0.71,0.2,0.04,0.21,0.92,0.86,-0.39,0.98,0.75,0.91,0.25,0.9,0.23,0.7,0.96,0.97,0.79,0.87,0.38,0.51,0.92,-0.22,0.65,-0.77,0.11,-0.79,-0.35,-0.8,-0.32,-0.38,-0.3,-0.95,-0.1,-1,0,-0.46,-0.79,-0.63,-0.84,-0.46,-0.97,-0.45,-0.99,-0.8,-0.33,-0.91,-1,-0.9,-0.94,-0.8,-0.93,-0.49,-0.92,-1,-0.65,-0.97,-0.61,-0.83,-0.81,-0.76,-0.77,-0.53,1,0.98,0.84,0.8,0.95,0.99,0.66,0.64,0.87,0.6,0.66,0.82,0.4,-0.42,0.38,0.62,-0.09,0.28,1,0.87,0.97,0.95,0.98,0.75,0.97,1,0.99,1,1,0.4,0.2,0.79,0.57,0.37,0.23,0.69,0.87,0.81,0.67,0.69,0.26
15_P1-200-3,0.97,0.98,0.72,0.96,1,1,1,1,0.95,0.96,1,1,1,0.95,0.66,1,1,0.99,0.95,1,0.79,1,0.82,0.68,0.96,0.98,0.87,0.8,0.2,0.95,0.87,0.54,0.96,0.26,0.98,0.98,0.19,0.49,0.86,0.83,0.37,0.64,0.76,0.19,-0.54,0.8,0.95,0.68,-0.62,-0.97,0.6,0.04,0.86,0.28,0.75,-0.53,0.64,-0.93,-0.75,-0.06,0.83,-0.12,-0.93,0.9,0.26,0.34,-0.55,0.89,-0.87,0.27,0.83,0.71,0.37,0.57,-0.03,-0.69,0.95,0.02,0.67,-0.5,0.79,-0.7,0.4,-0.79,0.74,-0.76,0.84,-0.98,0.57,-0.88,-0.46,0,0.91,-0.99,-0.52,0.9,-0.52,-0.99,0.43,-0.98,0.92,-0.49,-0.5,0.42,-0.88,-0.94,-0.84,0.83,-0.85,0.08,-0.96,-0.62,-0.87,0.6,-0.58,0.62,-0.85,0.87,1,1,0.74,0.54,0.97,0.99,0.55,0.98,0.84,0.41,0.97,0.95,0.93,0.73,0.56,0.54,0.71,0.92,1,0.78,0.97,0.84,0.97,0.72,0.94,1,0.89,1,1,0.88,0.86,0.56,0.48,0.89,0.92,0.89,0.99,0.7,0.29,0.99,0.91
15_P1-40-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.98,1,1,0.99,1,1,1,1,0.71,1,1,1,0.96,1,0.99,0.99,0.64,0.99,1,0.91,1,0.74,1,0.93,1,1,0.99,0.99,0.99,0.97,0.95,1,1,1,0.85,1,1,1,1,0.99,1,0.98,1,1,0.97,1,0.91,1,0.92,0.67,0.81,0.9,0.92,0.98,0.92,0.86,-0.99,0.96,-0.87,0.78,-0.78,-0.74,-0.79,0.91,0,0.88,-0.91,-1,-0.26,0.98,-1,0.95,-1,0.69,-1,-0.97,0.71,0.32,0.62,-0.99,0.72,-0.66,0.98,-0.43,0.37,-0.94,0.92,-0.85,0.35,-0.94,1,1,0.99,0.99,0.98,1,0.75,0.64,0.97,1,0.65,0.87,0.73,0.5,0.99,0.98,0,0.1,1,1,1,1,1,0.98,1,1,1,1,1,0.86,0.25,0.99,1,0.01,0.13,0.91,0.79,0.95,1,0.68,0.95
15_P1-500-3,0.98,0.96,-0.16,0.9,1,1,0.97,1,0.37,0.94,0.99,1,0.96,0.86,-0.36,0.96,1,0.97,0.79,0.99,0.61,0.98,0.6,-0.11,0.7,0.94,0.72,-0.02,-0.34,0.65,0.71,-0.26,0.95,0.09,0.87,0.94,-0.96,-0.05,0.78,0.55,-0.45,0.63,0.5,-0.34,-0.93,0.6,0.89,0.5,-0.75,-1,0.29,-0.16,0.75,0.28,0.58,-0.71,0.58,-0.97,-0.91,-0.81,0.71,-0.41,-0.98,0.84,-0.16,-0.79,-0.95,0.86,-0.96,0.08,0.75,-0.04,0.2,-0.05,0.02,-1,0.92,-0.21,0.51,-0.86,0.77,-0.97,-0.17,-0.87,0.67,-0.8,0.63,-0.99,0.69,-0.86,-0.63,-0.99,0.88,0,-0.45,0.94,-0.47,-0.71,0.19,-0.87,0.94,-0.76,-0.79,0.28,-1,-0.98,-0.96,0.8,-0.83,-0.03,-1,-0.69,-0.96,0.41,-0.8,0.51,-1,0.82,0.96,0.99,-0.65,0.46,0.86,0.96,-0.04,0.97,0.26,0.09,0.94,0.79,0.82,0.42,-0.08,-0.52,0.59,0.82,0.99,0.68,0.91,-0.01,0.94,0.06,0.92,0.99,0.89,0.98,0.99,0.36,0.67,0.02,0.22,0.81,0.64,0.76,0.84,-0.2,-0.13,0.98,0.65
15_P1-60-3,1,1,0.82,1,1,1,1,1,0.99,1,1,1,1,0.99,0.75,1,1,1,0.99,1,0.99,1,0.96,0.96,1,1,0.98,0.94,0.89,1,0.95,0.93,0.99,0.63,1,1,0.45,0.99,1,0.99,0.92,1,0.9,0.7,-0.25,0.97,1,0.92,0.93,-0.48,0.99,0.68,0.99,0.91,0.96,0.24,0.97,0.23,0.11,0.93,1,0.91,-0.78,1,0.77,0.99,0.18,0.99,0.68,0.54,0.99,1,0.85,0.89,0.77,0.7,0.97,0.38,0.47,-0.06,0.93,0.51,0.74,-0.22,-0.15,0.83,-0.19,-0.39,-0.53,-1,-0.84,-0.52,-0.91,-0.45,0,-0.32,-0.93,0.62,-0.99,0.25,-0.46,0,-0.8,-0.57,-0.49,-0.66,-0.35,-0.07,-0.21,-0.62,0.13,-0.95,-0.93,-0.24,0.15,-0.67,-0.82,-0.1,1,1,0.92,0.96,0.98,1,0.69,0.9,0.96,0.91,0.87,0.81,0.97,0.88,0.97,0.89,0.47,0.81,1,1,1,0.97,1,0.96,1,1,1,1,1,0.8,0.56,0.96,0.99,0.7,0.78,0.89,0.95,0.92,0.98,0.92,0.99
16_P1-20-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,1,1,1,0.99,1,1,1,0.7,1,1,0.98,1,0.78,1,0.97,1,1,1,1,1,1,0.99,1,1,1,0.93,1,1,1,1,1,1,0.99,1,1,1,1,0.98,1,0.99,0.68,0.76,0.93,0.96,0.98,0.94,0.99,-0.98,1,-0.73,0.72,0.04,-0.76,-0.46,0.9,-1,0.94,-0.32,0,-0.45,0.98,-1,0.98,-1,0.95,-0.87,-1,0.86,0.84,0.91,-1,0.81,-0.41,1,-0.7,0.69,-1,0.92,-1,0.25,-1,1,1,1,1,0.98,1,0.87,0.81,0.99,1,0.79,0.9,0.98,0.93,1,0.99,-0.1,0.44,1,1,1,1,1,1,1,1,1,1,1,0.88,0.42,1,1,0.33,0.46,0.92,0.96,0.98,1,0.86,1
16_P1-100-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,0.99,1,0.98,1,0.99,0.98,1,1,0.99,0.98,0.62,1,0.99,0.91,1,0.92,1,1,0.6,0.97,0.97,0.98,0.55,0.96,0.97,0.91,0.06,0.96,0.99,0.8,0.91,-0.62,0.98,0.41,0.97,0.97,0.93,0.82,0.82,0.34,0.27,0.88,0.97,0.97,-0.11,0.99,0.98,0.97,0.85,0.94,0.59,0.87,0.99,1,0.87,0.99,0.49,0.79,0.93,0.21,0.77,0.14,0.4,-0.17,0.41,-0.56,-0.36,-0.05,-0.81,-0.69,-0.87,-1,-0.97,-0.52,-0.26,-0.47,-0.93,-0.45,0,-0.36,-0.9,-0.64,-0.62,-0.94,-0.96,-0.86,-0.7,-0.88,-0.75,-0.34,-0.65,-0.95,-0.11,-1,-0.55,-0.69,-0.46,-0.54,-0.68,0.06,1,1,0.93,0.89,0.99,1,0.63,0.73,0.86,0.81,0.83,0.78,0.57,0.3,0.63,0.78,0.27,0.38,1,0.93,0.99,0.98,0.99,0.87,0.99,1,1,1,1,0.61,0.4,0.73,0.71,0.56,0.39,0.57,0.93,0.87,0.79,0.85,0.52
16_P1-200-3,1,1,0.92,1,1,1,1,1,0.99,1,1,1,1,1,0.68,1,1,1,0.98,1,0.96,1,0.99,0.79,1,1,0.98,0.87,0.64,1,0.99,0.71,1,0.74,1,1,-0.11,0.98,0.99,0.98,0.6,0.97,0.95,0.57,-0.33,0.98,1,0.89,0.65,-0.85,0.98,0.62,0.98,0.97,0.96,0.63,0.89,0.22,0.1,0.65,0.99,0.95,-0.27,1,0.92,0.97,0.73,0.99,0.11,0.92,1,1,0.95,0.97,0.74,0.27,0.99,0.28,0.98,-0.45,0.82,-0.81,0.55,-0.2,0.97,-0.65,0.9,-1,0.93,-0.67,-0.45,-0.99,0.98,-0.71,0.62,0.98,-0.36,0,0.63,-0.96,0.98,-0.26,0.04,0.67,-0.85,-0.75,-0.76,0.95,-0.97,-0.1,-0.71,-0.37,-0.53,0.74,-0.83,0.83,-0.93,0.96,1,1,0.72,0.9,1,1,0.46,1,0.84,0.73,0.99,0.98,0.95,0.68,0.65,0.61,0.91,0.96,1,0.99,1,0.93,1,0.86,1,1,0.99,1,1,0.95,0.97,0.87,0.5,0.99,0.97,0.97,1,0.66,0.62,1,0.91
16_P1-40-3,0.99,0.99,0.93,0.99,1,1,0.99,1,0.99,1,1,1,0.98,0.98,0.81,1,1,0.99,0.82,0.99,0.93,0.98,0.87,0.84,0.94,0.97,0.79,0.77,0.61,0.96,0.69,0.65,0.93,0.84,0.87,0.99,0.13,0.95,0.87,0.96,0.52,0.93,0.61,0.8,-0.07,0.7,0.89,0.34,0.94,0,0.92,0.36,0.86,0.87,0.69,0.75,0.58,0.54,0.4,0.92,0.94,0.97,0.15,0.88,0.91,0.97,0.92,0.68,0.86,0.58,0.91,0.96,0.58,0.95,0.36,0.93,0.51,0.37,0.17,0.63,0.04,0.6,0.44,0.09,-0.97,0.39,-0.99,0.31,-0.99,-0.76,-0.99,0.43,-1,0.19,-0.99,-1,-0.9,0.63,0,0.4,-1,-0.26,-1,-0.98,-0.23,-0.54,-0.22,-0.96,-0.13,-0.89,0.61,-0.69,-0.45,-0.98,0.41,-0.98,-0.28,-0.7,0.99,0.87,0.75,0.71,0.84,0.85,0.43,-0.1,0.76,0.75,0.06,0.34,0.37,-0.12,0.79,0.78,-0.28,-0.02,0.96,0.8,0.9,0.88,0.92,0.52,0.91,1,0.98,0.95,0.95,0.43,-0.31,0.64,0.74,-0.35,-0.32,0.47,0.37,0.52,0.88,0.02,0.3
16_P1-500-3,1,1,0.85,0.99,1,1,0.99,1,0.92,0.98,1,1,1,0.95,0.35,1,1,1,0.95,1,0.88,1,0.88,0.62,0.99,0.93,0.91,0.77,0.59,0.99,0.88,0.61,1,0.47,0.98,1,0.01,0.95,0.97,0.97,0.62,0.95,0.79,0.21,-0.49,0.89,0.99,0.77,0.64,-0.93,0.96,0.4,0.93,0.83,0.87,-0.08,0.85,-0.12,-0.01,-0.63,0.95,0.7,-0.69,0.98,0.62,0.95,-0.15,0.98,-0.2,0.57,0.95,0.99,0.93,0.82,0.71,0.07,0.99,0.06,0.89,-0.74,0.61,-0.92,0.28,-0.98,0.87,-0.23,0.87,-1,0.95,-0.88,-0.8,-0.98,0.95,-0.87,0.25,0.98,-0.64,-0.96,0.4,0,0.97,-0.84,0.04,0.59,-0.92,-0.69,-0.93,0.96,-0.92,-0.69,-0.99,-0.59,-0.64,0.68,-0.94,0.73,-0.84,0.94,1,1,0.76,0.78,0.99,1,0.69,0.99,0.89,0.66,0.99,0.96,0.97,0.66,0.49,0.59,0.82,0.97,1,0.96,0.97,0.91,0.99,0.85,0.99,1,0.97,1,1,0.92,0.94,0.84,0.59,0.98,0.96,0.96,1,0.8,0.5,1,0.91
16_P1-60-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,0.99,1,1,1,0.79,1,1,0.98,1,0.86,1,0.99,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,0.68,0.95,0.95,0.96,0.99,0.98,0.98,-0.58,1,-0.42,0.81,-0.53,-0.73,-0.33,0.92,-1,0.94,-0.46,-1,-0.62,0.98,-1,0.97,0,0.89,-0.49,-0.89,0.87,0.58,0.86,-0.5,0.86,-0.31,1,-0.73,0.68,-0.89,0.94,-0.96,0.35,-0.97,1,1,1,1,1,1,0.77,0.86,0.98,0.99,0.84,0.87,0.97,0.89,1,0.96,0.11,0.59,1,1,1,1,1,1,1,1,1,1,1,0.8,0.67,0.99,1,0.5,0.55,0.9,0.96,0.98,1,0.92,0.99
17_P1-100-3,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,0.98,1,1,1,1,0.98,1,1,0.99,0.98,0.94,1,1,0.94,1,0.97,1,1,0.41,0.9,1,1,0.8,1,0.99,0.92,0.16,0.98,1,0.89,0.51,-0.63,0.99,0.74,0.99,0.99,0.97,0.6,0.94,0.22,0.59,-0.63,1,0.87,-0.1,1,0.92,0.92,0,0.99,-0.04,0.93,1,0.96,0.97,0.92,0.86,0.14,1,0.09,0.94,-0.76,0.75,-0.56,0.39,-0.92,0.8,0.39,0.88,-0.97,0.94,-1,-0.91,-0.49,0.69,-0.76,0,0.95,-0.94,-0.26,-0.26,-0.84,0.89,0,-0.74,0.14,-1,-1,-1,0.75,-0.88,-0.94,-1,-1,-0.93,0.25,-0.89,0.28,-0.98,0.4,1,1,0.82,0.94,0.98,1,0.43,0.95,0.88,0.86,0.87,0.86,0.95,0.65,0.62,0.74,0.47,0.94,1,0.99,0.99,0.96,1,0.93,1,1,1,1,1,0.73,0.89,0.9,0.84,0.94,0.91,0.89,0.99,0.87,0.91,0.97,0.93
17_P1-20-3,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,0.97,1,0.99,1,0.98,0.96,1,1,0.97,0.96,0.94,1,0.98,0.91,1,0.91,0.99,1,0.49,0.97,0.99,0.99,0.77,1,0.96,0.86,-0.01,0.93,1,0.82,0.96,-0.77,0.99,0.52,0.97,0.97,0.89,0.3,0.92,0.3,0.58,0.69,0.98,0.75,-0.17,1,0.8,0.99,-0.33,0.98,0.27,0.8,0.99,0.97,0.94,0.81,0.78,0.36,0.97,0.01,0.66,-0.45,0.88,-0.16,0.46,-0.01,-0.56,0.67,-0.03,-0.85,0.68,-0.97,-1,-0.5,-1,-0.79,-0.8,-0.87,-0.96,0.04,-1,0.04,-0.49,-0.74,0,-1,-0.99,-0.86,-0.92,-0.98,-0.86,-0.99,-0.11,-1,-0.92,-1,-0.54,-1,-0.97,-0.96,1,1,0.94,0.94,0.96,0.99,0.77,0.83,0.95,0.89,0.77,0.9,0.81,0.5,0.74,0.83,-0.22,0.24,1,1,0.99,0.97,1,0.97,1,1,1,1,1,0.57,0.07,0.91,0.91,0.23,0.16,0.87,0.94,0.91,0.91,0.89,0.96
17_P1-40-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.98,1,1,1,1,0.99,1,1,0.99,0.99,0.88,1,0.99,0.95,1,0.97,0.99,1,0.62,1,0.99,1,0.62,0.99,0.98,0.95,0.24,0.97,1,0.76,1,-0.09,1,0.72,0.99,1,0.96,0.94,0.93,0.84,0.75,0.99,0.99,1,0.48,1,0.99,1,0.88,0.98,0.94,0.93,0.99,1,0.95,0.99,0.75,0.97,0.93,-0.12,0.77,0.51,0.81,0.55,0.77,0.51,-0.33,0.81,0.05,-0.21,0.08,-0.86,-0.9,0.42,-0.97,0.28,-0.57,-1,-0.86,0.67,-0.98,0.59,-0.89,0.14,-1,0,-0.09,-0.43,-0.06,-1,-0.07,-0.98,0.76,-0.98,-0.08,-1,0.37,-1,-0.56,-0.87,1,1,0.95,0.98,0.97,0.99,0.76,0.69,0.95,0.92,0.69,0.88,0.7,0.25,0.86,0.8,-0.29,-0.15,1,0.98,1,0.99,1,0.94,1,1,1,1,1,0.44,-0.03,0.87,0.95,-0.06,-0.01,0.81,0.79,0.84,0.97,0.76,0.89
17_P1-500-3,1,0.99,0.28,0.97,1,1,0.98,1,0.81,0.98,0.99,1,0.98,0.96,0,0.99,1,0.99,0.78,1,0.83,0.98,0.86,0.5,0.92,0.98,0.83,0.59,0.24,0.93,0.86,0.32,0.99,0.56,0.93,0.99,-0.54,0.34,0.88,0.81,0.02,0.83,0.74,0.24,-0.7,0.76,0.95,0.57,0.05,-0.97,0.61,0.02,0.8,0.68,0.63,-0.29,0.59,-0.71,-0.45,-0.81,0.81,-0.01,-0.8,0.94,0.31,0.16,-0.83,0.86,-0.78,0.47,0.9,0.57,0.56,0.29,0.27,-0.81,0.94,-0.11,0.66,-0.93,0.45,-0.96,-0.36,-0.98,0.67,-0.71,0.56,-1,0.75,-0.92,-0.94,-0.88,0.71,-1,-0.49,0.86,-0.7,-0.85,-0.23,-0.92,0.87,-1,-0.99,-0.09,0,-1,-1,0.55,-0.99,-0.83,-1,-0.89,-1,-0.05,-0.98,0.04,-1,0.49,1,0.99,0.05,0.7,0.9,0.99,0.08,0.94,0.6,0.3,0.87,0.74,0.78,0.1,-0.04,-0.03,0.47,0.75,0.99,0.82,0.9,0.5,0.95,0.44,0.95,1,0.98,0.98,1,0.63,0.7,0.56,0.36,0.85,0.67,0.82,0.94,0.18,0.33,0.96,0.57
17_P1-60-3,0.98,0.94,0.36,0.81,0.99,1,0.88,0.98,0.68,0.81,0.95,1,0.83,0.82,0.21,0.98,1,0.95,0.39,0.97,0.49,0.8,0.47,0.39,0.75,0.87,0.43,0.4,0.22,0.84,0.42,0.09,0.88,0.18,0.6,0.85,-0.3,0.13,0.46,0.53,-0.17,0.57,0.34,-0.02,-0.69,0.23,0.62,-0.05,-0.52,-0.97,0.55,-0.42,0.22,0.26,0.12,-0.69,0.09,-0.61,-0.28,-0.81,0.24,-0.53,-0.78,0.65,-0.31,0.22,-0.97,0.46,-0.89,-0.07,0.43,-0.09,0.56,-0.37,0.07,-0.89,0.73,-0.74,0.1,-0.87,0.36,-0.81,-0.25,-0.82,0.19,-0.25,0.31,-0.97,0.57,-0.96,-0.8,-0.94,0.32,-0.98,-0.66,0.84,-0.88,-0.75,-0.54,-0.69,0.58,-1,-0.86,-0.43,-1,0,-1,0.35,-0.93,-0.65,-1,-0.97,-1,-0.39,-0.93,-0.23,-1,-0.07,0.96,0.89,0.27,0.42,0.72,0.85,0.24,0.72,0.46,0.11,0.58,0.56,0.66,0.34,-0.1,-0.08,-0.04,0.54,0.88,0.85,0.6,0.44,0.78,0.51,0.85,0.97,0.87,0.92,0.87,0.19,0.32,0.24,0.26,0.51,0.43,0.4,0.84,0.19,0.18,0.79,0.7
18_P1-100-3,1,0.98,0.63,0.95,0.99,1,0.98,1,0.9,0.97,0.98,1,0.97,0.95,0.5,1,1,0.99,0.69,1,0.84,0.96,0.84,0.74,0.95,0.98,0.8,0.75,0.55,0.98,0.83,0.5,0.95,0.54,0.87,0.99,-0.18,0.19,0.82,0.84,0.15,0.85,0.72,0.31,-0.46,0.63,0.91,0.36,0,-0.93,0.76,-0.04,0.71,0.69,0.55,-0.36,0.51,-0.51,-0.06,-0.91,0.68,-0.13,-0.64,0.9,0.18,0.28,-0.84,0.79,-0.82,0.33,0.81,0.42,0.71,0.19,0.36,-0.8,0.91,-0.42,0.56,-0.91,0.24,-0.94,-0.35,-0.96,0.56,-0.4,0.59,-1,0.84,-0.92,-0.93,-0.84,0.62,-0.96,-0.35,0.91,-0.75,-0.76,-0.22,-0.93,0.86,-1,-0.92,-0.06,-1,-1,0,0.66,-0.98,-0.9,-1,-0.93,-1,-0.03,-0.98,0.11,-1,0.35,1,0.98,0.49,0.63,0.86,0.96,0.43,0.89,0.71,0.44,0.77,0.8,0.78,0.26,0.08,0.23,0.28,0.76,0.97,0.88,0.85,0.7,0.92,0.7,0.95,1,0.98,0.99,0.97,0.55,0.62,0.52,0.41,0.81,0.68,0.77,0.96,0.44,0.43,0.93,0.69
18_P1-20-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.98,1,1,1,1,0.99,1,1,1,0.99,0.98,1,1,0.97,1,0.99,1,1,0.65,1,1,1,0.91,1,0.99,0.98,0.41,0.99,1,0.86,1,0.53,1,0.89,1,1,0.98,0.98,0.99,0.98,0.95,1,1,1,0.76,1,1,1,0.99,1,1,0.97,1,1,0.99,1,0.94,1,0.97,0.43,0.84,0.85,0.96,0.9,0.94,0.95,-0.4,0.99,0.2,0.54,0.64,-0.73,-0.49,0.83,-0.99,0.8,-0.07,-1,-0.34,0.95,-0.96,0.96,-0.5,0.75,-0.98,-1,0.55,0.35,0.66,0,0.51,-0.75,0.99,-0.85,0.29,-1,0.81,-1,-0.19,-0.97,1,1,0.97,1,0.99,1,0.76,0.81,0.96,0.97,0.76,0.89,0.91,0.79,0.98,0.88,-0.15,0.38,1,1,1,1,1,0.99,1,1,1,1,1,0.76,0.26,0.98,0.99,0.33,0.4,0.9,0.92,0.91,1,0.86,0.99
